FIPS,State,County,Years of Potential Life Lost Rate,% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% Smokers,% Obese,Food Environment Index,% With Access,% Excessive Drinking,% Alcohol-Impaired,Chlamydia Rate,Teen Birth Rate,% Uninsured,PCP Rate,Dentist Rate,MHP Rate,Preventable Hosp. Rate,% Receiving HbA1c,% Mammography,HS Graduation Rate,% Some College,% Unemployed,% Children in Poverty,80th Percentile Income,20th Percentile Income,Income Ratio,% Single-Parent Households,Violent Crime Rate,Injury Death Rate,Average Daily PM2.5,% Pop in Viol,% Severe Housing Problems,% Drive Alone,% Long Commute - Drives Alone
06001,California,Alameda,4886.73,14.5,3,3.2,7.250089991,10.6,20.5,7.6,99.73124029,19.4,34.32835821,422.1,23.92897231,14.74294644,102.01194,87.84647,460.13309,42.04,79.80043806,60.07384813,80.52791832,70.9680128,7.413177706,15.4,146517,27248,5.377165297,29.22436444,723.4919831,42.4007937,8.46,0,25.45881826,65.10961625,40.6
06003,California,Alpine,,,,,,,23.5,6.5,100,,33.33333333,,,18.53035144,0,0,690.25022,22.93,83.33333333,69.41176471,,68.57142857,11.44859813,31.9,118050,21105,5.593461265,39.37007874,719.2174914,,10.32,45.75276243,21.12676056,52.20264317,44.7
06005,California,Amador,6601.66,17.5,4,4.2,5.867475974,21.2,24.8,7.7,68.99530073,17.8,20.93023256,178.2,21.93995381,15.25321785,67.50371,84.88732,145.12993,41.85,84.93870403,69.85446985,92,54.01925078,9.865303068,22.1,101576,23139,4.389818056,29.34463081,294.0792622,93.37166671,9.4,19.15709352,19.7759888,81.01475709,39.2
06007,California,Butte,7649.95,17.3,4.5,4.5,5.814556561,19.2,24.4,6.4,84.03909091,20.4,34.84848485,382.3,26.49146116,19.31215631,66.80539,68.44072,425.05291,59.12,81.07112497,62.40889912,86.4179704,67.77840588,10.03576972,25,88479,18420,4.803420195,35.20829632,304.1081675,90.94906852,8.93,0.407081616,23.2222483,73.97069667,21.6
06009,California,Calaveras,7101.19,21.4,4.3,4.3,5.156683856,19.1,24.3,7.7,62.80661723,23.9,30.6122449,181,22.26152086,16.47886081,44.70073,47.17511,121.30742,51.3,85.25073746,66.08,93.6,64.89524783,10.42877907,21.8,104832,23636,4.435268235,29.17010006,228.926379,92.29268207,9.54,3.424043633,19.45401537,80.08959095,51.8
06011,California,Colusa,5942.57,,2.9,2.6,5.899104963,,22.3,7,73.2573883,,20.51282051,182.1,44.86830154,22.80015014,32.69348,32.7746,154.50885,65.01,88.95899054,58.65921788,85.89031339,42.7800521,18.43676967,20,92761,24835,3.735091605,33.39878907,215.9194312,55.26259097,7.55,1.563281641,21.67381974,75.40847739,25.6
06013,California,Contra Costa,5040.11,13.8,3.3,3.4,6.766302827,11.6,22.4,8,95.77788899,18.4,30.45112782,317.6,21.40861425,13.78403415,95.03546,79.78395,290.89613,43.95,79.76004173,64.1412138,84.28819389,68.39947623,7.390218376,13.4,156066,32397,4.817297898,26.14714255,396.5962458,47.46999212,8.29,0.00245639,23.78108782,69.67099662,45.9
06015,California,Del Norte,9082.35,15.9,6.3,4,5.172413793,20.3,25.5,6,78.049633,,22.72727273,127.3,53.75989446,17.93647003,77.766,71.75403,340.83163,55.69,85.31317495,51.50501672,90,41.48423517,11.56444204,32.6,84225,14534,5.795032338,41.68488313,492.5937489,96.73756081,7.96,0,24.18533605,75.30821121,8
06017,California,El Dorado,5096.16,9.7,2.7,3.1,6.348167539,14.3,21,7.9,94.04500215,20.9,44.33962264,158.9,16.48713486,13.43198634,69.22868,79.23538,241.55786,37.07,81.93249504,66.82242991,94.44407457,69.62296819,8.512781484,13.8,134373,30022,4.475817734,22.16914722,241.194746,67.39366101,9.5,0.098977439,21.21057986,76.84414229,40.7
06019,California,Fresno,6784.17,23.4,4.2,3.7,7.522024335,13.9,28.5,6.5,77.17265839,17.5,30,635.6,53.55645729,22.33475633,64.03663,55.69094,244.64236,53.09,81.99406528,59.93608948,82.62985316,51.11937467,12.8790685,42,94241,18745,5.027527341,39.2131786,543.0533077,53.32780782,9.59,3.440017317,28.80072896,76.95403211,21.9
06021,California,Glenn,6947.15,28.3,,3.1,5.10238335,15,25.9,6.9,66.73778536,17,6.896551724,314.4,46.39104926,22.8769134,14.2898,71.58196,110.95204,51.44,81.94444444,53.87323944,86.95822454,47.22346954,12.19836002,28.5,92706,17720,5.231715576,31.91681736,254.225319,61.98302947,7.98,1.905487805,19.92619926,73.64221859,27.4
06023,California,Humboldt,8140.31,12,4.1,3.9,5.484611851,18.6,25.7,6.5,86.49264984,22,33.07086614,297.4,25.92756837,20.92690299,71.94405,78.07098,343.5123,38.62,86.14347026,66.3507109,88.75,66.18389544,8.795836615,25.6,82508,17472,4.722298535,39.49706428,333.7921542,102.741973,8.19,0.12153998,25.29548627,72.48844016,14.9
06025,California,Imperial,5337.91,29,4.6,3.8,5.960113439,12.4,22.1,5.3,70.5038733,15.8,20.42253521,327.2,59.46616511,22.56506429,22.04037,33.41186,98.53667,61.46,84.94924746,45.9237098,84.78882466,51.16610213,24.48877868,30.9,89718,15953,5.623895192,34.9511866,303.9791513,41.79822168,9.43,9.184313657,28.56697496,78.65877364,19.7
06027,California,Inyo,5835.7,,3.4,,8.676092545,,22.8,6.9,82.5083576,,36.36363636,356.9,39.98001,20.19421459,91.91673,75.81091,330.31895,33.45,84.21052632,62.34817814,77.85123967,50.60180542,8.141202427,23.1,93676,19833,4.723239046,38.9874739,393.1449812,85.51541984,11.3,2.656564386,20.41719343,72.37089202,13.2
06029,California,Kern,7312.58,23.7,4.7,4.2,7.095431286,16,28,6.9,79.68845838,15.7,33.22632424,693.2,60.91739045,21.03911897,49.64037,46.40538,143.3822,67.06,81.45111386,52.70767613,82.26916497,44.84392994,11.75709611,30.5,98321,19769,4.973493854,37.92791082,561.1397941,61.08252146,9.21,13.17951761,27.02589641,76.12703261,24.6
06031,California,Kings,6324.27,26.9,5.4,4.3,6.392894347,12.5,23.7,6.5,51.53155273,14.7,22.54901961,368.6,60.55921677,19.79710217,37.65757,57.63116,140.43455,62.59,73.92169874,52.67538645,81.45139665,47.09703614,13.52224832,28,92869,21028,4.41644474,33.7087267,397.8805624,46.69366855,8.85,46.45290102,23.73818003,76.0930044,23.9
06033,California,Lake,10269.47,20.4,4.9,4.5,5.996822875,24.5,26.5,6,86.8785278,20.7,38.27160494,265.7,44.09370798,20.62504859,56.26495,40.71406,308.48732,54.44,81.4516129,54.47598253,90.59766764,55.16187705,11.88696172,33.7,77613,15696,4.944762997,41.68181818,512.2840484,128.0393814,7.21,1.337143041,26.40810758,73.95259096,33.5
06035,California,Lassen,6820.78,18.2,4.2,4.1,6.583793739,18.1,24.1,4.3,50.80670583,20.5,20.51282051,172.3,34.00936037,13.44468652,47.53699,108.82069,289.15213,62.93,76.78571429,51.69811321,85.75438597,42.62503173,10.80561122,19.9,93302,21833,4.273439289,34.84381026,353.3332697,84.32774614,11.12,0.716358036,21.69390788,75.25204287,15.4
06037,California,Los Angeles,5066.17,22.4,3.8,3.7,7.234957165,12.3,21.3,7.4,97.1946524,15.4,27.9986053,517.8,34.59339324,24.51235453,72.00795,77.70737,256.72183,54.44,80.37024158,53.96277934,78.89264066,58.93442379,9.870681887,27.4,116591,22029,5.292614281,35.56799118,473.9048467,36.87313461,8.1,0.905163855,34.61653182,72.39694452,44.3
06039,California,Madera,6702.86,31.1,4.3,4.6,6.368170746,13.8,27.6,6.8,78.04792364,15,30.76923077,432.9,58.87289558,24.64992605,45.98668,43.31021,122.71227,48.96,85.33419857,60.35049288,86.36435331,42.30169116,11.36818752,32.2,89502,20768,4.30961094,33.19705834,521.3532031,60.50947385,9.91,7.459584296,27.0996907,76.46155692,33.8
06041,California,Marin,3500.61,9.7,3.4,3,6.118557568,9.7,15.8,8.5,97.14233645,22,31.70731707,189.8,12.45050695,12.3086402,142.93023,106.05152,626.24582,30.19,84.08037094,65.00685244,93.14382239,73.7029966,5.043906014,10.3,192363,34735,5.53801641,23.77503114,202.6971396,52.02851828,7.5,0.514099104,23.62151123,66.15952964,39.8
06043,California,Mariposa,7094.09,16.5,3.2,3.4,6.243996158,20.4,24.1,7.2,55.0271218,18,24.13793103,145.2,23.59108781,18.72895007,27.92516,50.68995,230.92087,38.65,86.42384106,58.3011583,92.5,64.57642448,9.248055316,25.5,100017,20082,4.980430236,44.03225807,295.9493073,95.63487265,10.06,24.25513699,18.21170283,63.20248517,40.5
06045,California,Mendocino,7323,16,4.2,4,6.070328542,18.2,24.2,6.8,75.23479924,24.1,27,402.6,38.61386139,21.91184044,94.93526,76.84191,420.91018,35.97,83.89830509,58.42880524,84.24812834,53.84949768,7.749959767,28.9,85430,17357,4.921933514,36.75496689,501.3580806,88.58204798,7.27,6.557457054,27.99120235,72.11063641,19.5
06047,California,Merced,6580.91,23,4.6,4.2,6.546028271,11.7,31.1,6.3,67.99091453,14.2,34.70319635,390,48.86054464,20.78982032,45.36703,40.64917,109.41085,51.58,82.04903678,63.47177849,91.67742789,43.07982438,14.67731913,34.1,86390,18914,4.567516126,36.58834031,603.6805204,59.72661605,9.05,9.651123632,28.43547516,78.29305969,28.1
06049,California,Modoc,9307.35,,,,6.686930091,,24.1,5.8,56.7107165,,23.07692308,64.3,37.54266212,22.22067622,32.16468,76.52782,185.85329,46.47,81.71428571,48.36601307,,65.92178771,11.6751269,33.4,78231,16446,4.756840569,31.07843137,439.998625,119.4292539,9.98,0,21.29277567,64.57142857,18.8
06051,California,Mono,3448.89,,,3.1,7.864164433,,21.6,7.2,88.93817772,25.9,7.692307692,188.2,25.79004722,22.75468105,55.7569,35.5265,177.63251,20.61,81.69014085,67.81609195,82.421875,57.14626581,8.636861981,18.7,98397,30125,3.266290456,25.57123656,353.3815358,35.34618049,11.02,7.289567343,25.76177285,53.87859425,21.2
06053,California,Monterey,4991.47,24,3.9,4.6,5.761846364,12.5,22,7.6,87.54917999,15.4,27.62430939,402.1,51.04797735,23.53489324,62.32982,62.26302,234.82718,36.42,84.11878631,63.48214286,82.43932634,45.72944879,10.13183252,24.4,115310,25821,4.465744936,31.98856617,464.3072708,50.0480288,7.22,0.656180643,30.3997125,71.18290304,27.9
06055,California,Napa,4739.49,16.7,3.4,4,6.12244898,8.5,24.1,8.3,93.61243809,23.7,35.71428571,246.7,25.12531328,18.38018305,98.52925,76.96364,401.20861,45.52,80.10638298,63.50762527,87.9548495,57.71314349,6.251276813,13.7,134976,31320,4.309578544,28.05834684,383.6295511,50.07393959,7.55,40.48771468,25.43311845,76.07589864,31.5
06057,California,Nevada,5871.83,9.2,3,3,5.789938217,14.1,17.8,7.6,77.50799887,17.1,37.70491803,179.1,17.06270786,16.70369015,74.26851,81.4664,465.37678,35.93,85.11576626,70.31509121,88.74589456,71.18403727,7.749040413,17.8,110918,24771,4.477736062,27.98277648,275.6400584,73.71172016,9.58,0.153470741,24.49470645,76.00805461,26.6
06059,California,Orange,4179.3,14.5,3.1,3.2,6.464124564,10.9,20.7,8.4,98.30415064,17.2,31.31868132,279.7,24.95675776,19.33053728,94.10601,101.33693,195.60982,38.94,83.69522306,64.08565553,91.02415521,65.77806069,6.229557654,18.8,146026,31512,4.633980706,26.02764759,221.0628896,36.0839922,7.63,0,28.80116293,78.03400102,37.3
06061,California,Placer,4922.1,8.7,2.7,2.9,5.805713442,8.1,22.5,8.2,90.87425954,16.4,33.33333333,211.5,14.75818144,12.78867161,115.84762,98.28237,219.70602,32.79,83.71717172,69.28883592,91.52653314,76.52685203,7.598475506,9.5,135278,31095,4.350474353,22.03831725,203.4086734,47.29416743,9.3,0.795279392,19.90285692,78.44470727,37
06063,California,Plumas,8246.13,,4.1,3.4,5.657237937,14.4,24.8,7.1,94.80181936,18.3,33.33333333,324.8,23.63636364,18.99600298,77.32357,106.05016,249.21788,51.37,78.0058651,64.21052632,87.5,57.89755967,12.56292405,24.9,89742,18264,4.913600526,39.46613088,533.2491652,87.21804511,10.38,37.47166893,21.93958665,74.04412772,29.6
06065,California,Riverside,5626.57,19.5,4,4.1,6.513148505,14.6,25.9,7.4,90.91727822,17.5,35.11450382,406.1,37.0773552,22.51317507,40.5063,48.15689,136.70623,50.07,79.68370923,57.42386539,83.9043987,53.01387736,10.26690125,24.2,109775,24130,4.549316204,30.35291964,305.5325471,46.97621001,9.4,1.516360958,28.42939835,77.01964371,44.9
06067,California,Sacramento,6353.17,13.9,3.5,3.7,6.841219118,14.6,26.9,7,97.10710832,18,30.26548673,562.2,34.54231434,17.50356208,79.23477,71.94978,299.76794,39.79,79.62729791,58.59350363,82.41391551,65.67459972,8.791249193,25.9,107650,23197,4.640686296,36.46965339,558.6385781,55.69738999,8.68,0.023499508,23.63325016,75.5293543,34
06069,California,San Benito,4914.79,18.1,3.6,2.6,6.068268015,,23.3,7.9,93.4049829,23.8,31.25,411.4,32.42542153,18.72019628,36.91724,46.875,78.125,52.4,84.50502152,61.65577342,88.43373494,53.83200491,11.13914517,18.6,120263,28724,4.186847236,26.46032853,373.107641,41.52703952,7.93,1.831844959,29.1629431,76.84629085,44.1
06071,California,San Bernardino,6379.19,19.4,4.2,4.1,7.103734149,16.2,27.7,7,89.83068086,17.3,31.32427844,566,43.43118163,21.63530954,57.60787,63.30293,169.27069,58.19,78.07249287,50.78491665,82.69832135,52.76728249,10.06140061,26.7,104581,22625,4.622364641,35.17566645,430.4990795,42.54090481,10.42,1.272163622,28.83170235,75.71614278,39.1
06073,California,San Diego,4882.41,16,3.5,3.7,6.580560214,12.1,22.6,7.7,96.41632365,17.2,31.34765625,520.1,32.0548937,18.42233075,77.49295,79.15916,283.25401,38.93,82.67150161,56.16020602,85.51488068,67.88370603,7.547555467,19.4,125191,26121,4.792733816,29.16234097,367.031314,47.387144,7.87,0.443687289,26.60636248,75.96731133,31.2
06075,California,San Francisco,5001.5,16.4,3.1,3.1,7.097715899,9.5,15.2,7.4,99.66519091,20.6,25.30864198,591.3,15.37842325,13.44784958,159.83281,139.47235,775.45669,40.15,81.54010695,62.10418795,82,84.40404483,5.719153129,14.4,163423,23910,6.834922627,28.15291803,702.659797,58.65744794,7.98,0,26.74035435,37.03378253,44.9
06077,California,San Joaquin,7018.37,22,3.8,4,6.971075084,16.4,30.4,6.9,84.90017598,17.5,37.66937669,523.3,42.33191967,19.53330033,60.6309,55.36792,170.22086,52.17,83.86439422,59.32347925,82.05260244,50.97080476,12.84106732,26.4,106307,22543,4.715743246,34.06238595,839.2197711,61.39400506,8.89,24.52340505,28.88210427,76.66367096,33.8
06079,California,San Luis Obispo,5516.34,11.6,3.1,3.5,5.74919342,9.1,20.4,7.7,90.82358875,17.5,36.92307692,316.6,17.48013621,16.89376859,80.05706,77.41198,447.47018,28.78,84.92379059,68.2437032,91.74115932,66.76504158,6.650550136,16.1,114831,24629,4.662430468,25.7274882,281.9073733,57.51665725,7.46,6.440786416,24.97671455,73.89699812,23.4
06081,California,San Mateo,3824.37,12,3,3.2,6.704146382,10.5,20.8,8.5,99.70937475,20.6,26.39593909,245,20.07582285,13.05644755,97.52323,96.33744,286.20247,28.79,80.01052078,66.61285983,87.78141809,73.75791756,5.397368962,10,177984,39041,4.558899618,22.09846235,235.4884596,37.66914334,8.01,10.82669661,24.8922687,70.20199511,33.9
06083,California,Santa Barbara,4985.83,21,3.7,3.3,6.038607098,10.5,19.4,7.9,95.32289836,18,28.93081761,400,33.78203272,21.07110102,77.44945,75.05216,411.75404,30.43,86.14083105,67.84757368,87.75942915,57.32031943,6.821590544,20.9,127219,25815,4.928103816,31.17858545,400.5113707,45.55675309,7.23,3.978949557,28.98647933,66.32637157,17.4
06085,California,Santa Clara,3756.61,13.5,2.9,2.7,6.792575635,10.3,20.4,8.3,98.08132049,14.9,28.24601367,241.7,23.33135514,13.4207148,103.5644,105.90529,255.52606,31.93,80.29285099,62.93633306,86.51964759,74.03390345,6.84032949,12.9,178235,36273,4.913709922,22.24388788,262.1440064,36.75587951,8.27,2.1534368,24.31251563,76.36804046,33.3
06087,California,Santa Cruz,5065.51,16.8,3.4,3.7,5.781256647,10.1,21.5,7.5,97.94879222,20.5,27.14285714,319.4,25.2351219,18.39231222,96.71035,71.26446,535.96814,34.58,85.99670511,70.60948081,89.55673469,66.22334747,9.475842337,18.9,133236,25635,5.197425395,29.62677671,443.3688482,53.28305286,7.68,2.297181845,27.81478127,71.03331225,36.4
06089,California,Shasta,8990.16,15.8,4.1,4.1,5.984736913,25.1,27.3,6.4,78.54510983,19.6,38.46153846,328.1,34.66257669,18.99289695,77.27369,69.84021,236.89798,42.77,84.66786356,64.96786042,89.79386177,64.5373344,10.92971811,28.3,87732,19199,4.569613001,35.43623125,756.9707735,96.38456541,9.59,0.173030487,23.24101526,81.01135191,15
06091,California,Sierra,10259.86,,,,6.962025317,,23.3,5.2,73.82716049,,30.76923077,,,20.66752247,32.40441,65.63833,164.09583,37.9,71.875,59.15492958,,55.3064275,13.01609517,20.4,84179,15475,5.439676898,34.2519685,424.4306418,81.21446867,10.22,7.046120059,18.42105263,76.80776014,45.3
06093,California,Siskiyou,8760.78,19.5,4.6,4.9,7.213409159,23.8,21.7,6,71.30066815,19.5,31.48148148,144.9,40.8008658,18.91259781,70.20881,79.9105,312.79253,42.34,80.6122449,61.47757256,90.29596977,62.20231345,13.03969075,28,76440,16114,4.74370113,36.48349213,293.5348397,109.8019531,8.72,6.406355048,24.51971689,71.25590179,20
06095,California,Solano,6228.5,17.4,4,3.3,6.958586125,13.5,26.5,7.4,96.52517032,18.3,31.72413793,507.2,29.2371566,15.19972767,77.71707,85.45439,282.96468,40.51,72.73526825,45.80718768,80.71107467,62.4256189,8.419622531,17.8,123958,29120,4.256799451,34.52230714,445.6497428,50.82533189,8.1,0,23.50513244,75.96787175,38.4
06097,California,Sonoma,4942.47,14.4,3.9,3.4,5.677655678,14,22.4,7.8,94.44074746,21.7,30.63583815,316,22.87069058,17.91640915,96.98493,85.85425,341.80092,30.85,81.97573657,64.53703704,84.89082752,61.59643965,6.726932692,16,122039,27263,4.476359902,28.93053281,366.2813778,49.86771605,7.18,0.47439721,24.75701797,76.00824322,31.1
06099,California,Stanislaus,6876.21,22.3,4.4,3.9,6.329180374,17.1,32.1,6.8,92.09898669,17,27.23735409,385.3,42.49718989,19.61913997,67.85171,58.04096,157.18633,59.04,82.93468261,61.60305344,82.12383498,48.67522733,12.99103039,30.5,97637,20635,4.731621032,33.61302512,515.3746044,56.34362857,9.15,28.22212131,27.5108376,79.28362365,30
06101,California,Sutter,6587.26,19,4.3,3.3,5.756628692,18.7,27.6,5.9,67.2049991,10.8,24.52830189,237.8,37.32444857,20.04910779,88.40058,74.46251,225.48506,53.54,84.71177945,66.09071274,87.51761942,53.79068725,15.32165696,25.4,100241,21572,4.646810681,29.87018096,356.1614179,64.28433979,8.09,1.326490227,24.99210609,75.62176736,32.6
06103,California,Tehama,7413.9,24.3,5.2,5,5.526992288,21.1,27.1,6.4,64.32882152,17.7,31.03448276,351.7,43.37272437,20.3420239,53.62269,57.0912,139.55627,43.93,78.39313573,60.20179372,85.66791045,50.86533821,11.608,28.7,80197,19160,4.185647182,29.47059948,558.2108067,80.69390429,8.94,25.76736086,23.58252835,75.28886081,30.7
06105,California,Trinity,9952.41,16.7,4.6,9.2,4.670658683,23.4,25,6.4,89.32975482,,48.14814815,103.5,33.67600142,19.73420021,44.35901,37.18025,312.3141,31.94,79.38596491,57.20930233,93.95038168,63.69937979,12.82051282,34.6,80109,17158,4.668900804,42.10094378,214.0246249,118.3293647,8.71,4.506928562,15.27050611,68.63234294,19.1
06107,California,Tulare,6960.71,24.8,4.9,4.5,6.166836814,14.5,28.3,6.4,66.76662619,19.2,38.50931677,446.9,61.57265994,22.85043643,42.48004,46.68133,211.16697,59.08,79.99237078,57.32899023,83.87615243,44.19007948,13.97262276,39.8,87318,18628,4.687459738,35.32247877,452.7262235,50.32405159,10.31,8.645363423,27.78102474,75.60436609,24.3
06109,California,Tuolumne,6972.66,13.2,3.7,3.7,4.699017199,19.1,22.7,6.8,82.41127066,26.5,35.71428571,164.8,23.39020363,17.23405358,92.57888,105.80243,120.65189,32.77,82.63274336,71.00456621,90.37349398,55.30012771,9.759276608,21.6,91142,20625,4.419006061,24.39600558,198.9882765,90.41885631,10.12,0.139435201,22.0717671,78.6521146,24.6
06111,California,Ventura,4729.52,16.3,3.7,3.6,6.397854136,12.1,21.3,8.4,97.27687236,17.7,33.10344828,319.7,32.62204768,18.06564555,73.44665,79.91711,270.2413,40.52,83.50781586,60.53715309,86.75873624,61.80147348,7.767110845,18,143707,32601,4.408054968,26.67661213,205.0245232,43.86569608,7.67,0.020072414,25.44154276,76.5381164,32.3
06113,California,Yolo,4923.08,16.7,3.6,3.2,5.367022187,8.1,21.1,7.2,91.94170745,19,40.2173913,317,18.73336275,16.0640136,112.19001,51.81018,314.2825,28.07,81.15789474,61.51797603,89.47223487,68.939717,9.351901883,17.9,117206,21544,5.440308207,27.62841677,269.249178,39.54317178,7.94,0.296863248,25.42943029,67.41125581,27
06115,California,Yuba,7557.53,22.3,4.3,5.3,5.86585913,17.2,27.6,5.5,78.1068533,19.4,39.7260274,253.7,50.44039608,18.72401167,20.5688,29.99727,132.2607,70.78,82.75862069,57.25552051,80.84662921,53.93771484,14.00206673,28,83061,20467,4.058288953,33.89396356,401.082373,76.99999169,8.7,8.375827536,24.07368641,75.65890844,39.2
